"state","avg_poverty_percentage","med_household_income","num_regulations","number_of_incidents","party","population","incidents_per_pop"
"Alabama",20.6470890410959,38304,670,1034,"Republican",325690,0.00317479812091252
"Alaska",19.852994011976,50000,340,380,"Republican",247210,0.00153715464584766
"Arizona",25.6664414414414,39000,650,480,"Republican",2595050,0.000184967534344232
"Arkansas",22.9632162661738,33750,674,538,"Republican",295125,0.00182295637441762
"California",17.1246502331779,54667,4596,3234,"Democratic",21311275,0.000151750657809071
"Colorado",13.3628318584071,50220.5,912,788,"Democratic",1413935,0.000557309918772787
"Connecticut",9.1375,69200,3536,737,"Democratic",718985,0.00102505615555262
"Delaware",12.5558441558442,57448,1370,366,"Democratic",124835,0.00293187006849041
"Florida",17.5660109289617,44679,1128,2702,"Republican",5312690,0.000508593575006259
"Georgia",23.7774038461538,35833,574,2767,"Republican",1381305,0.00200317815399206
"Hawaii",13.4006622516556,63453,3592,75,"Democratic",1105155,6.78637838131303e-05
"Idaho",18.2368888888889,41250,312,177,"Republican",258465,0.000684812256978701
"Illinois",13.8797802197802,47969,3084,3456,"Democratic",2914885,0.0011856385414862
"Indiana",15.4998529411765,43359,554,1320,"Republican",613960,0.00214997719721154
"Iowa",12.2925224327019,45714,1108,587,"Republican",264735,0.00221731165127392
"Kansas",14.7629850746269,42500,598,461,"Republican",472805,0.000975031989932425
"Kentucky",20.08,37632,372,914,"Republican",241710,0.00378139092300691
"Louisiana",22.3389006342495,38569,522,1692,"Republican",362450,0.00466823010070355
"Maine",16.8938461538462,42227,536,231,"Democratic",60950,0.00378999179655455
"Maryland",10.3122093023256,70511,2628,1284,"Democratic",985620,0.00130273330492482
"Massachusetts",9.58530612244898,66370,4868,1338,"Democratic",1173235,0.00114043648544409
"Michigan",17.9007225433526,41228,1266,1268,"Republican",924355,0.00137176734046984
"Minnesota",13.7457364341085,47188,1662,410,"Democratic",642029,0.000638600437051909
"Mississippi",26.8842541436464,31800,436,661,"Republican",143975,0.00459107483938184
"Missouri",20.105859375,36852.5,656,1702,"Republican",445125,0.0038236450435271
"Montana",16.5137741046832,41875,232,140,"Republican",126000,0.00111111111111111
"Nebraska",12.984575389948,44167,1158,374,"Republican",257370,0.00145316081905428
"Nevada",12.4661538461538,50153,526,491,"Democratic",1078150,0.000455409729629458
"New Hampshire",12.659793814433,52636,532,209,"Democratic",89915,0.00232441750542179
"New Jersey",8.19097605893186,75357.5,3214,1062,"Democratic",2572430,0.000412839222058521
"New Mexico",23.080787037037,37337,520,395,"Democratic",1238784,0.000318861076668733
"New York",11.668231349539,57708,3028,2903,"Democratic",5462480,0.000531443593386154
"North Carolina",19.7472899728997,38977,1392,1856,"Republican",1328710,0.00139684355502706
"North Dakota",12.16225,49375,690,149,"Republican",74490,0.00200026849241509
"Ohio",14.8511129431162,45583,970,2132,"Republican",742380,0.00287184460788276
"Oklahoma",20.6571041948579,38162.5,538,840,"Republican",981590,0.000855754439226154
"Oregon",16.5234666666667,44431,1214,686,"Democratic",804890,0.000852290375082309
"Pennsylvania",12.5155858930603,48018,1690,1789,"Republican",1317010,0.00135837996674285
"Rhode Island",10.3694444444444,64497,2344,226,"Democratic",193035,0.0011707721397674
"South Carolina",22.1615189873418,34865,850,1696,"Republican",376885,0.00450004643326214
"South Dakota",16.0322916666667,43462,310,103,"Republican",123610,0.000833265916997007
"Tennessee",19.8872093023256,37116.5,1010,1763,"Republican",499740,0.00352783447392644
"Texas",19.9180701754386,44079,922,3276,"Republican",11538510,0.000283918807541008
"Utah",11.9827044025157,57548,644,324,"Republican",518690,0.000624650561992712
"Vermont",13.7859504132231,44013,180,117,"Democratic",29620,0.00395003376097232
"Virginia",14.5858347386172,49980,710,1326,"Democratic",1354235,0.000979150590554815
"Washington",15.0176090468498,53904,1372,925,"Democratic",1704880,0.000542560180188635
"West Virginia",21.1344059405941,36250,964,342,"Republican",62105,0.00550680299492794
"Wisconsin",12.8586872586873,47375,1192,1117,"Republican",615185,0.00181571397221974
"Wyoming",9.88770053475936,55227,476,198,"Republican",83295,0.00237709346299298
